StartDate,EndDate,Status,IPAddress,Progress,Duration,Finished,RecordedDate,ResponseId,Q5.3_7_TEXT,Q5.4,Q5.5,Q5.6,Q5.7,Q5.8,Q5.9,Q5.10,Q5.10_89_TEXT,Q5.11,Q5.19,Q5.20,Q5.21,Q5.22,Q5.23,Q6.1,Q6.1_10_TEXT,Q6.2,Q6.3,Q6.4,Q6.5,Q6.6,Q6.7,Q6.10,Q6.11,Q6.12,Q6.13,Q6.14,Q16.1,Q16.2,Q16.3,Q16.4,pk_correct_states,pk_correct_judges,pk_correct_term,pk_correct_econ,pk_correct_vp,pk_correct_opposition,pk_correct_bolsonaro,manipulation_check,pk_correct_states2,pk_correct_judges2,pk_correct_term2,pk_correct_econ2,pk_correct_vp2,pk_correct_opposition2,pk_correct_bolsonaro2,ksr_correct_welfare,ksr_correct_edu,ksr_correct_salary,ksr_correct_pubedu,ksr_correct_pubedu_alt,ksr_correct_bolsa,ksr_correct_welfare2,ksr_correct_edu2,ksr_correct_salary2,ksr_correct_pubedu2,ksr_correct_pubedu2_alt,ksr_correct_bolsa2,pk1,pk2,pk3,pk4,pk5,pk6,pk7,ksr1,ksr2,ksr3,ksr4,ksr5,ksr4_alt,pk_ind,ksr_ind,ksr_ind_alt,ksr_what,pk_ind_scaled,ksr_ind_scaled,ksr_ind_alt_scaled,ksr_what_scaled,edu,female,ses,ses_alt,edu_3cat,gender_cat,region_cat
11/21/19 13:24,11/21/19 13:41,0,45.6.175.1,100,1027,1,11/21/19 13:41,R_2zI7OxOaT1PYIf9,35,18,12,9,14,15,12,89,K,50,6,18,15,8,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,436,2,1121,15,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,0,0,1,1,1,0,0,1,1,1,0,1,0,3,4,4,3,0.42857142857142855,0.8,0.8,1,4,1,1,1,High School,female,Nordeste
11/21/19 13:21,11/21/19 13:42,0,189.6.23.72,100,1249,1,11/21/19 13:42,R_1dbNYk2kZ1pAJTF,26,17,12,12,13,14,11,89,K,51,6,18,15,11,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,445,1,1118,15,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,1,0,1,0,0,1,1,1,1,1,0,1,1,4,4,5,3,0.5714285714285714,0.8,1,1,2,1,10,0,Less than High School,female,Centro-Oeste
11/21/19 13:37,11/21/19 13:42,0,177.126.237.1,100,301,1,11/21/19 13:42,R_3fdWhJWv2fLSsiE,27,19,12,9,14,14,11,85,NA,52,6,16,15,9,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,451,1,1111,14,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,0,1,1,1,1,1,1,1,0,1,0,1,0,6,3,3,2,0.8571428571428571,0.6,0.6,0.6666666666666666,1,0,16,0,Less than High School,male,Sudeste
11/21/19 13:31,11/21/19 13:43,0,189.40.103.21,100,696,1,11/21/19 13:43,R_2tKiQUeZ66xmIJu,23,19,12,9,14,14,NA,89,K,50,7,19,15,11,12,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,451,4,1127,15,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,0,1,1,1,1,1,1,0,0,1,0,1,1,6,2,3,1,0.8571428571428571,0.4,0.6,0.3333333333333333,7,1,16,3,College or More,female,Nordeste
11/21/19 13:18,11/21/19 13:43,0,187.122.239.22,100,1482,1,11/21/19 13:43,R_wRZ39aXnud6F5wl,27,19,12,9,14,16,11,89,K,49,6,18,15,11,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,440,3,1127,15,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,0,1,1,1,1,0,1,1,1,1,0,1,1,5,4,5,3,0.7142857142857143,0.8,1,1,7,1,5,2,College or More,female,Norte
11/21/19 13:26,11/21/19 13:43,0,177.51.178.168,100,1005,1,11/21/19 13:43,R_2znM0YSxd0jF3lu,25,18,12,10,12,16,14,85,NA,49,6,18,15,9,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,435,1,1110,15,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,1,1,1,0,1,0,1,4,4,3,0.14285714285714285,0.8,0.8,1,0,1,0,0,Less than High School,female,Norte
11/21/19 13:28,11/21/19 13:44,0,177.202.48.142,100,943,1,11/21/19 13:44,R_3MrNQFeZu5cOJYJ,26,19,12,9,14,14,11,89,k,51,6,18,15,8,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,451,3,1126,14,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,0,1,0,7,4,4,3,1,0.8,0.8,1,7,0,16,2,College or More,male,Centro-Oeste
11/21/19 13:31,11/21/19 13:45,0,201.94.252.110,100,808,1,11/21/19 13:45,R_sHTBvHibcqBQb9n,27,18,12,9,14,14,11,89,k,53,6,19,15,8,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,450,4,1125,15,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,1,0,1,0,1,0,5,3,3,2,0.7142857142857143,0.6,0.6,0.6666666666666666,6,1,15,3,College or More,female,Sul
11/21/19 13:21,11/21/19 13:45,0,177.38.236.181,100,1419,1,11/21/19 13:45,R_245UX6F7XfdeGTC,26,19,12,9,14,14,11,87,NA,51,6,16,15,10,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,450,4,1127,15,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,0,1,1,1,1,7,4,4,2,1,0.8,0.8,0.6666666666666666,7,1,15,3,College or More,female,Centro-Oeste
11/21/19 13:25,11/21/19 13:45,0,177.74.120.253,100,1244,1,11/21/19 13:45,R_3CAWzsZihW5VfOW,15,19,12,9,14,15,11,89,K,53,6,17,15,10,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,449,2,1127,15,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,0,1,1,1,1,0,1,1,0,1,1,1,1,5,4,4,2,0.7142857142857143,0.8,0.8,0.6666666666666666,7,1,14,1,College or More,female,Sul
11/21/19 13:31,11/21/19 13:47,0,179.197.250.220,100,961,1,11/21/19 13:47,R_1WYCtgfROUwVkAx,26,19,12,9,14,15,11,89,K,50,6,18,15,8,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,451,2,1127,15,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,1,1,1,1,1,0,1,1,1,1,0,1,0,6,4,4,3,0.8571428571428571,0.8,0.8,1,7,1,16,1,College or More,female,Nordeste
11/21/19 13:34,11/21/19 13:48,0,189.35.161.10,100,803,1,11/21/19 13:48,R_1H1uaa6zW7ztlpe,26,19,12,9,14,14,11,87,NA,51,6,16,15,8,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,451,4,1127,15,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,0,1,0,1,0,7,3,3,2,1,0.6,0.6,0.6666666666666666,7,1,16,3,College or More,female,Centro-Oeste
11/21/19 13:24,11/21/19 13:49,0,167.249.168.129,100,1503,1,11/21/19 13:49,R_1f2Fnl5fhhqAYuo,26,20,12,9,14,15,11,89,NA,50,6,17,15,11,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,443,2,1121,14,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,1,0,1,1,1,0,1,1,0,1,0,1,1,5,3,4,2,0.7142857142857143,0.6,0.8,0.6666666666666666,4,0,8,1,High School,male,Nordeste
11/21/19 13:18,11/21/19 13:50,0,177.91.129.237,100,1901,1,11/21/19 13:50,R_1QEqdXiUQ9Wz0WO,27,19,12,9,14,14,11,89,K,53,6,18,15,10,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,439,2,1127,15,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,0,1,1,1,1,1,1,1,1,1,1,1,1,6,5,5,3,0.8571428571428571,1,1,1,7,1,4,1,College or More,female,Sul
11/21/19 13:34,11/21/19 13:50,0,45.229.90.213,100,992,1,11/21/19 13:50,R_1IttPT24FfQoAec,24,18,12,9,14,15,11,89,K,53,6,18,15,10,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,448,1,1123,15,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,0,0,1,1,1,0,1,1,1,1,1,1,1,4,5,5,3,0.5714285714285714,1,1,1,5,1,13,0,College or More,female,Sul
11/21/19 13:33,11/21/19 13:51,0,179.247.100.108,100,1023,1,11/21/19 13:51,R_VQivjszEcE06mC5,24,19,12,9,14,15,11,89,K,49,6,18,15,9,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,449,3,1121,14,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,0,1,1,1,1,0,1,1,1,1,0,1,0,5,4,4,3,0.7142857142857143,0.8,0.8,1,4,0,14,2,High School,male,Norte
