state,forecast_date,trump_forecast,trump_actual,biden_forecast,biden_actual,R_house_forecast,R_house_actual,D_house_forecast,D_house_actual,I_house_forecast,I_house_actual,R_senate_forecast,R_senate_actual,D_senate_forecast,D_senate_actual,I_senate_forecast,I_senate_actual
AK,2020-10-08,52.45548,52.83314327038078,45.33591,42.771952271020496,51.31311,54.40120057197061,48.68689,45.26382852207892,NA,NA,50.073,53.89706898448053,44.72372,41.19383959366812,NA,NA
AK,2020-10-09,52.40688,52.83314327038078,45.38707,42.771952271020496,51.30933,54.40120057197061,48.69067,45.26382852207892,NA,NA,50.07199,53.89706898448053,44.72498,41.19383959366812,NA,NA
AK,2020-10-10,52.40592,52.83314327038078,45.38847,42.771952271020496,51.31276,54.40120057197061,48.68724,45.26382852207892,NA,NA,50.07196,53.89706898448053,44.71838,41.19383959366812,NA,NA
AK,2020-10-11,52.36044,52.83314327038078,45.44131,42.771952271020496,51.30903,54.40120057197061,48.69097,45.26382852207892,NA,NA,50.07,53.89706898448053,44.721,41.19383959366812,NA,NA
AK,2020-10-12,52.35938,52.83314327038078,45.44639,42.771952271020496,51.29947,54.40120057197061,48.70053,45.26382852207892,NA,NA,50.06031,53.89706898448053,44.72881,41.19383959366812,NA,NA
AK,2020-10-13,52.3711,52.83314327038078,45.42933,42.771952271020496,51.32063,54.40120057197061,48.67937,45.26382852207892,NA,NA,50.07179,53.89706898448053,44.70796,41.19383959366812,NA,NA
AK,2020-10-14,52.34122,52.83314327038078,45.45225,42.771952271020496,51.23503,54.40120057197061,48.76497,45.26382852207892,NA,NA,49.97721,53.89706898448053,44.77418,41.19383959366812,NA,NA
AK,2020-10-15,52.28248,52.83314327038078,45.52057,42.771952271020496,51.17609,54.40120057197061,48.82391,45.26382852207892,NA,NA,49.91615,53.89706898448053,44.91092,41.19383959366812,NA,NA
AK,2020-10-16,52.26768,52.83314327038078,45.37289,42.771952271020496,52.35861,54.40120057197061,47.64139,45.26382852207892,NA,NA,50.08702,53.89706898448053,44.25842,41.19383959366812,NA,NA
AK,2020-10-17,52.23716,52.83314327038078,45.39878,42.771952271020496,52.23634,54.40120057197061,47.76366,45.26382852207892,NA,NA,49.62115,53.89706898448053,44.72438,41.19383959366812,NA,NA
AK,2020-10-18,52.19481,52.83314327038078,45.3758,42.771952271020496,52.22264,54.40120057197061,47.77736,45.26382852207892,NA,NA,49.27967,53.89706898448053,45.29164,41.19383959366812,NA,NA
AK,2020-10-19,52.21672,52.83314327038078,45.3432,42.771952271020496,52.199,54.40120057197061,47.801,45.26382852207892,NA,NA,49.26624,53.89706898448053,45.30878,41.19383959366812,NA,NA
AK,2020-10-20,52.19497,52.83314327038078,45.35816,42.771952271020496,52.17099,54.40120057197061,47.82901,45.26382852207892,NA,NA,49.23801,53.89706898448053,45.34507,41.19383959366812,NA,NA
AK,2020-10-21,52.50642,52.83314327038078,45.12451,42.771952271020496,52.16426,54.40120057197061,47.83574,45.26382852207892,NA,NA,49.56537,53.89706898448053,45.10883,41.19383959366812,NA,NA
AK,2020-10-22,52.54781,52.83314327038078,45.07946,42.771952271020496,52.16863,54.40120057197061,47.83137,45.26382852207892,NA,NA,49.57471,53.89706898448053,45.11666,41.19383959366812,NA,NA
AK,2020-10-23,52.55986,52.83314327038078,45.07445,42.771952271020496,52.21064,54.40120057197061,47.78936,45.26382852207892,NA,NA,49.87345,53.89706898448053,44.87148,41.19383959366812,NA,NA
AK,2020-10-24,52.65746,52.83314327038078,44.98238,42.771952271020496,52.22623,54.40120057197061,47.77377,45.26382852207892,NA,NA,49.82101,53.89706898448053,44.92944,41.19383959366812,NA,NA
AK,2020-10-25,52.70493,52.83314327038078,44.94049,42.771952271020496,52.22609,54.40120057197061,47.77391,45.26382852207892,NA,NA,49.82284,53.89706898448053,44.93106,41.19383959366812,NA,NA
AK,2020-10-26,52.68978,52.83314327038078,44.95874,42.771952271020496,52.13519,54.40120057197061,47.86481,45.26382852207892,NA,NA,49.78571,53.89706898448053,45.00069,41.19383959366812,NA,NA
AK,2020-10-27,52.69888,52.83314327038078,44.95459,42.771952271020496,52.13976,54.40120057197061,47.86024,45.26382852207892,NA,NA,49.78369,53.89706898448053,45.0081,41.19383959366812,NA,NA
AK,2020-10-28,52.76705,52.83314327038078,44.88847,42.771952271020496,51.87062,54.40120057197061,48.12938,45.26382852207892,NA,NA,49.62408,53.89706898448053,45.20288,41.19383959366812,NA,NA
AK,2020-10-29,53.05929,52.83314327038078,44.65736,42.771952271020496,51.93646,54.40120057197061,48.06354,45.26382852207892,NA,NA,49.48645,53.89706898448053,45.44212,41.19383959366812,NA,NA
AK,2020-10-30,53.18275,52.83314327038078,44.54224,42.771952271020496,51.9767,54.40120057197061,48.0233,45.26382852207892,NA,NA,49.52233,53.89706898448053,45.42301,41.19383959366812,NA,NA
AK,2020-10-31,53.07226,52.83314327038078,44.65789,42.771952271020496,51.97395,54.40120057197061,48.02605,45.26382852207892,NA,NA,49.51981,53.89706898448053,45.42781,41.19383959366812,NA,NA
AK,2020-11-01,53.1496,52.83314327038078,44.59486,42.771952271020496,52.0639,54.40120057197061,47.9361,45.26382852207892,NA,NA,49.60464,53.89706898448053,45.35185,41.19383959366812,NA,NA
AK,2020-11-02,52.94314,52.83314327038078,44.50209,42.771952271020496,52.1521,54.40120057197061,47.8479,45.26382852207892,NA,NA,49.66437,53.89706898448053,45.30453,41.19383959366812,NA,NA
AK,2020-11-03,52.94961,52.83314327038078,44.49561,42.771952271020496,52.15197,54.40120057197061,47.84803,45.26382852207892,NA,NA,49.66635,53.89706898448053,45.30525,41.19383959366812,NA,NA
AL,2020-10-08,59.28187,62.0316431668648,39.92735,36.569990212122335,77.285538333333335,78.70613278654344,44.497,43.5055401870495,NA,NA,52.3392,60.09536164251688,47.6608,39.73666545072299,NA,NA
AL,2020-10-09,59.28014,62.0316431668648,39.92948,36.569990212122335,77.27901333333334,78.70613278654344,44.504661999999996,43.5055401870495,NA,NA,52.33996,60.09536164251688,47.66004,39.73666545072299,NA,NA
AL,2020-10-10,59.3097,62.0316431668648,39.89994,36.569990212122335,77.27265833333334,78.70613278654344,44.511598,43.5055401870495,NA,NA,52.33491,60.09536164251688,47.66509,39.73666545072299,NA,NA
AL,2020-10-11,59.27195,62.0316431668648,39.93962,36.569990212122335,77.27112333333334,78.70613278654344,44.512704,43.5055401870495,NA,NA,52.33624,60.09536164251688,47.66376,39.73666545072299,NA,NA
AL,2020-10-12,59.26084,62.0316431668648,39.95168,36.569990212122335,77.26231,78.70613278654344,44.522301999999996,43.5055401870495,NA,NA,52.33154,60.09536164251688,47.66846,39.73666545072299,NA,NA
AL,2020-10-13,59.20613,62.0316431668648,40.00404,36.569990212122335,77.32053166666667,78.70613278654344,44.45358,43.5055401870495,NA,NA,52.31124,60.09536164251688,47.68876,39.73666545072299,NA,NA
AL,2020-10-14,59.21838,62.0316431668648,39.98883,36.569990212122335,77.237655,78.70613278654344,44.53295,43.5055401870495,NA,NA,52.25746,60.09536164251688,47.74254,39.73666545072299,NA,NA
AL,2020-10-15,59.18422,62.0316431668648,40.0244,36.569990212122335,77.18008666666667,78.70613278654344,44.597262,43.5055401870495,NA,NA,52.22245,60.09536164251688,47.77755,39.73666545072299,NA,NA
AL,2020-10-16,59.18242,62.0316431668648,40.02482,36.569990212122335,77.116225,78.70613278654344,44.67306,43.5055401870495,NA,NA,51.20271,60.09536164251688,48.79729,39.73666545072299,NA,NA
AL,2020-10-17,59.14535,62.0316431668648,40.06288,36.569990212122335,76.90707166666667,78.70613278654344,44.922198,43.5055401870495,NA,NA,51.18915,60.09536164251688,48.81085,39.73666545072299,NA,NA
AL,2020-10-18,59.13599,62.0316431668648,40.07317,36.569990212122335,76.90485166666667,78.70613278654344,44.924341999999996,43.5055401870495,NA,NA,51.18775,60.09536164251688,48.81225,39.73666545072299,NA,NA
AL,2020-10-19,59.11399,62.0316431668648,40.08651,36.569990212122335,76.89463166666667,78.70613278654344,44.933915999999996,43.5055401870495,NA,NA,52.21523,60.09536164251688,47.78477,39.73666545072299,NA,NA
