cyear,year,country,ccode,abbrev,mideast,coldwar,opec_me,warsaw,civwar,us_s3un,cap,majpow,milper,def_eff,pop,rgdpc_k,rgdp,otherallies,polity2,us_indally,mid2,us_indexmilperpop1995,us_SH1995,us_indexreltradep1995,us_indexexchangerate1995,us_EH1995
21991,1991,United States,2,USA,0,1,0,0,0,1,0.13648100197315216,1,2110,0.04424325004220009,252677,25897.919921875,6543808.5,50,10,1,1,1.815171480178833,1.4075857400894165,NA,0,NA
21992,1992,United States,2,USA,0,0,0,0,0,1,0.15024399757385254,1,1920,0.045815493911504745,255403,26488.69921875,6765293,50,10,1,1,1.7230385541915894,1.3615193367004395,NA,0,NA
21993,1993,United States,2,USA,0,0,0,0,0,1,0.1565449982881546,1,1810,0.04520804062485695,258107,26956.0703125,6957550.5,50,10,1,1,1.6388641595840454,1.319432020187378,NA,0,NA
21994,1994,United States,2,USA,0,0,0,0,0,1,0.15007899701595306,1,1710,0.041927237063646317,260616,27877.939453125,7265437,50,10,1,1,1.5409587621688843,1.270479440689087,NA,0,NA
21995,1995,United States,2,USA,0,0,0,0,0,1,0.14477300643920898,1,1620,0.03786029666662216,263073,28408.859375,7473604,50,10,1,1,1.4780824184417725,1.2390412092208862,NA,0,NA
21996,1996,United States,2,USA,0,0,0,0,0,1,0.14311400055885315,1,1570,0.03576963394880295,265504,29193.91015625,7751100,50,10,1,1,1.415319561958313,1.2076597213745117,NA,0,NA
21997,1997,United States,2,USA,0,0,0,0,0,1,0.14618700742721558,1,1530,0.03346744552254677,268087,30190.33984375,8093637.5,53,10,1,1,1.3791606426239014,1.1895803213119507,NA,0,NA
21998,1998,United States,2,USA,0,0,0,0,0,1,0.14827899634838104,1,1510,0.0320751816034317,270560,31090.66015625,8411889,53,10,1,1,1.3193100690841675,1.1596550941467285,NA,0,NA
21999,1999,United States,2,USA,0,0,0,0,0,1,0.14970099925994873,1,1490,0.03173096850514412,272996,32127.900390625,8770788,53,10,1,1,1.2889273166656494,1.1444636583328247,NA,0,NA
22000,2000,United States,2,USA,0,0,0,0,0,1,0.14984199404716492,1,1366,0.030900081619620323,275423,33292.98828125,9169655,53,10,1,1,1.2666211128234863,1.1333105564117432,NA,0,NA
201950,1950,Canada,20,CAN,0,1,0,0,0,0.6200000047683716,0.012605000287294388,0,45,0.020327484235167503,13753.3203125,9092.5498046875,125052.75,11,10,1,1,0.11336344480514526,0.556681752204895,0.3653189241886139,1,1.0239894390106201
201951,1951,Canada,20,CAN,0,1,0,0,0,0.7142857313156128,0.013535000383853912,0,62,0.04594217240810394,14149.099609375,9299.419921875,131578.421875,13,10,1,1,0.2423800528049469,0.6211900115013123,0.5896357893943787,0,0.44222694635391235
201952,1952,Canada,20,CAN,0,1,0,0,0,0.8142856955528259,0.014204000122845173,0,102,0.06581804901361465,14544.8798828125,9702.150390625,141116.609375,13,10,1,1,0.235784649848938,0.617892324924469,0.40802016854286194,0.6666666865348816,0.8060153722763062
